Month,Number of establishmentsat end of month,Daily capacity (stay-units available),Monthly capacity (stay-unit nights available)  ,"Occupancy rate 
(%) ",Guest Nights,Guest Arrivals,Stay-unit nights (occupancy),"Average length
of stay (days)",Guests per stay-unit night,Stay-units per establishment,Guest night % of January guest nights
Jan-01,2903,121358,3762098,47.70973537,3740220,1767423,1794887,2.116199687,2.083819204,41.80434034,100
Feb-01,2898,120993,3387804,44.78201809,2645275,1462429,1517127,1.808822856,1.743608149,41.7505176,70.72511777
Mar-01,2908,120925,3748675,40.79294684,2616630,1476387,1529195,1.772319859,1.711115979,41.58356259,69.95925373
Apr-01,2916,120585,3617550,34.62423463,2244024,1236243,1252549,1.815196527,1.791565839,41.35288066,59.99711247
May-01,2879,115778,3589118,27.1486198,1519711,836589,974396,1.816556278,1.559644128,40.21465787,40.63159386
Jun-01,2855,115084,3452520,25.28350306,1432712,781424,872918,1.833463011,1.641290476,40.30963222,38.30555422
Jul-01,2864,115407,3577617,28.86549902,1802223,936114,1032697,1.925217441,1.745161456,40.29574022,48.18494634
Aug-01,2876,115819,3590389,29.22616463,1757486,906221,1049333,1.939356956,1.674860125,40.27086231,46.98884023
Sep-01,2905,117348,3520440,30.47724148,1863683,974156,1072933,1.913125824,1.736998489,40.39518072,49.82816519
Oct-01,2916,118760,3681560,32.81959278,2076713,1123949,1208273,1.847693267,1.718744853,40.72702332,55.52381945
Nov-01,2933,122039,3661170,36.24202099,2229590,1253146,1326882,1.779194124,1.680322742,41.60893283,59.61119934
Dec-01,2947,123286,3821866,37.78693445,2831237,1444626,1444166,1.959840817,1.960465071,41.83440787,75.6970713
Jan-02,2952,123461,3827291,48.10862304,3840258,1793954,1841257,2.140666929,2.085671908,41.82283198,100
Feb-02,2956,123821,3466988,46.61331392,2829400,1544421,1616078,1.832013421,1.750781831,41.88802436,73.67734147
Mar-02,2949,123556,3830236,45.05899898,3070082,1644953,1725866,1.866364571,1.77886464,41.8975924,79.9446808
Apr-02,2934,120026,3600780,36.47231989,2269600,1259630,1313288,1.801798941,1.72818148,40.90865712,59.10019587
May-02,2905,118136,3662216,28.68287944,1681505,940483,1050429,1.787916422,1.600779301,40.66643718,43.78625082
Jun-02,2876,117000,3510000,26.74393162,1538521,822472,938712,1.870605929,1.638970206,40.68150209,40.06295931
Jul-02,2867,117004,3627124,30.56791,1926479,975998,1108736,1.973855479,1.737545277,40.81060342,50.16535347
Aug-02,2862,117257,3634967,29.82657064,1828564,911325,1084186,2.006489452,1.686577764,40.97030049,47.61565499
Sep-02,2895,118475,3554250,31.66592108,1930539,1011974,1125486,1.907696245,1.71529366,40.92400691,50.27107554
Oct-02,2926,119579,3706949,35.00031967,2205203,1177507,1297444,1.872772731,1.699651777,40.86773753,57.42330333
Nov-02,2937,122616,3678480,39.88669233,2458811,1363628,1467224,1.803139126,1.675825232,41.74872319,64.02723463
Dec-02,2952,124166,3849146,40.26030709,2925272,1501752,1549678,1.947906179,1.887664405,42.06165312,76.1738404
Jan-03,2966,124436,3857516,48.84643382,3884101,1828808,1884259,2.123842962,2.061341355,41.954147,100
Feb-03,2968,124628,3489584,48.78458292,3013612,1632061,1702379,1.846506963,1.770235653,41.99056604,77.58840463
Mar-03,2967,124324,3854044,43.95598493,2898116,1589468,1694083,1.823324534,1.710728459,41.90225817,74.61484652
Apr-03,2923,120012,3600360,39.5624882,2550460,1370814,1424392,1.860544173,1.790560464,41.05781731,65.66410091
May-03,2862,117659,3647429,29.4338286,1721910,946547,1073578,1.81914897,1.603898366,41.11076171,44.33226633
Jun-03,2839,116487,3494610,26.59103591,1474648,788415,929253,1.870395667,1.586917664,41.03099683,37.96626298
Jul-03,2854,117251,3634781,31.33985239,1976968,1026630,1139135,1.925686956,1.735499304,41.08304135,50.89898538
Aug-03,2866,117575,3644825,29.8924091,1831178,936479,1089526,1.955386079,1.680710694,41.02407537,47.14547845
Sep-03,2893,118988,3569640,32.7527986,2025337,1072770,1169157,1.887950819,1.732305413,41.12962323,52.14429285
Oct-03,2934,119949,3718419,35.16806471,2224164,1214342,1307696,1.831579571,1.700826492,40.88241309,57.2632895
Nov-03,2935,123677,3710310,40.01649458,2476688,1400634,1484736,1.768262087,1.668099918,42.13867121,63.76476822
Dec-03,2957,125050,3876550,42.14136281,3085276,1633434,1633631,1.888828076,1.888600302,42.28948258,79.43346478
Jan-04,2945,126265,3914215,50.44372882,4098508,1887848,1974476,2.170994699,2.075744653,42.87436333,100
Feb-04,2947,125467,3638543,48.85977711,3108697,1723518,1777784,1.803692796,1.748635942,42.57448252,75.84947986
Mar-04,2951,125873,3902063,45.29242608,3002042,1686967,1767339,1.779549926,1.698622619,42.65435446,73.24719142
Apr-04,2949,125836,3775080,39.51150704,2657045,1463907,1491591,1.815036748,1.781349579,42.67073584,64.82956725
May-04,2928,122078,3784418,30.07899762,1791577,980631,1138315,1.826963455,1.573885085,41.69330601,43.71290723
Jun-04,2903,121231,3636930,29.03924464,1693013,913975,1056137,1.852362483,1.603024039,41.76059249,41.30803209
Jul-04,2889,121115,3754565,32.53008005,2091169,1097739,1221363,1.904978324,1.712160103,41.92281066,51.02268923
Aug-04,2917,121847,3777257,30.81275645,1914040,984317,1163877,1.944536161,1.64453804,41.77134042,46.70089701
Sep-04,2956,126055,3781650,32.91195642,2164638,1159929,1244615,1.866181465,1.739202886,42.64377537,52.81526839
Oct-04,3015,128048,3969488,34.24953042,2286267,1267564,1359531,1.803669874,1.681658601,42.47031509,55.78290929
Nov-04,3059,129199,3875970,41.03517313,2612613,1514034,1590511,1.725597312,1.642624917,42.23569794,63.74546542
Dec-04,3083,130796,4054676,40.84388,3126482,1680321,1656087,1.860645674,1.88787304,42.4249108,76.28341826
Jan-05,3081,131027,4061837,50.91159493,4280001,1995371,2067946,2.144965022,2.069687023,42.52742616,100
Feb-05,3096,131238,3674664,49.73548602,3150628,1787659,1827612,1.762432321,1.723904198,42.38953488,73.61278654
Mar-05,3108,131548,4077988,46.41894483,3333049,1847150,1892959,1.804427902,1.760761327,42.32561133,77.87495844
Apr-05,3100,131195,3935850,38.12866344,2610879,1468110,1500687,1.778394671,1.739789177,42.32096774,61.00183154
May-05,3081,127967,3966977,29.01864568,1791539,1001135,1151163,1.789507909,1.556286121,41.53424213,41.85837807
Jun-05,3058,127562,3826860,29.557052,1810133,975919,1131107,1.8547984,1.600319864,41.71419228,42.29281722
Jul-05,3052,127639,3956809,31.63587123,2146289,1107221,1251771,1.938446796,1.714601952,41.82142857,50.14692754
Aug-05,3059,127610,3955910,29.69369879,1920391,998153,1174656,1.923944526,1.634853949,41.71624714,44.86893811
Sep-05,3104,129081,3872430,32.12169103,2108206,1120608,1243890,1.881305506,1.694849223,41.58537371,49.25713802
Oct-05,3147,133886,4150466,33.27305898,2333921,1305294,1380987,1.788042387,1.690038357,42.54401017,54.53085175
Nov-05,3168,134604,4038120,39.09126029,2579173,1479000,1578552,1.743862745,1.633885358,42.48863636,60.26103732
Dec-05,3194,135795,4209645,38.76189085,3023292,1621670,1631738,1.864307781,1.852804801,42.51565435,70.63764705
Jan-06,3195,136132,4220092,48.75303666,4200158,1984175,2057423,2.116828405,2.041465464,42.60782473,100
Feb-06,3199,136377,3818556,48.71464501,3225892,1810609,1860196,1.781661308,1.734167797,42.63113473,76.80406309
Mar-06,3198,136037,4217147,44.09125411,3109626,1769974,1859393,1.756876655,1.672387709,42.53814884,74.03592912
Apr-06,3189,135847,4075410,37.72521047,2710206,1502005,1537457,1.804392129,1.76278491,42.59862026,64.52628687
May-06,3157,130891,4057621,29.15208197,1820042,1004411,1182881,1.812049052,1.538651817,41.46056383,43.3327032
Jun-06,3124,129038,3871140,27.63157623,1687038,901115,1069657,1.872167259,1.577176609,41.30537772,40.16606042
Jul-06,3105,128518,3984058,30.67154143,2059914,1064174,1221972,1.935692847,1.685729297,41.39066023,49.04372645
Aug-06,3123,128803,3992893,30.67948477,1981418,1016091,1224999,1.950039908,1.617485402,41.24335575,47.17484437
Sep-06,3157,129952,3898560,32.92749118,2173608,1159368,1283698,1.874821454,1.693239376,41.16312955,51.75062462
Oct-06,3200,134507,4169717,34.7671077,2442298,1345694,1449690,1.814898484,1.684703626,42.0334375,58.14776492
Nov-06,3209,134553,4036590,40.99053904,2696769,1530056,1654620,1.762529607,1.629841897,41.9298847,64.20637033
Dec-06,3233,135638,4204778,40.36315354,3161143,1672996,1697181,1.889510196,1.862584486,41.95422208,75.26247822
Jan-07,3232,135823,4210513,51.14792426,4299046,2004209,2153590,2.145008829,1.996223051,42.02444307,100
Feb-07,3239,135934,3806152,51.56472994,3421441,1882705,1962632,1.817300639,1.743292171,41.96789132,79.58605235
